DATE,US_MXN_RATES
12/2/2022,19.374
12/1/2022,19.123
11/30/2022,19.251
11/29/2022,19.216
11/28/2022,19.295
11/25/2022,19.33
11/24/2022,19.367
11/23/2022,19.354
11/22/2022,19.419
11/21/2022,19.538
11/18/2022,19.435
11/17/2022,19.407
11/16/2022,19.338
11/15/2022,19.354
11/14/2022,19.339
11/11/2022,19.495
11/10/2022,19.31
11/9/2022,19.567
11/8/2022,19.513
11/7/2022,19.441
11/4/2022,19.501
11/3/2022,19.635
11/2/2022,19.65
11/1/2022,19.74
10/31/2022,19.794
10/28/2022,19.786
10/27/2022,19.825
10/26/2022,19.926
10/25/2022,19.865
10/24/2022,19.922
10/21/2022,19.909
10/20/2022,20.027
10/19/2022,20.1
10/18/2022,20.027
10/17/2022,19.98
10/14/2022,20.071
10/13/2022,19.968
10/12/2022,19.978
10/11/2022,20.0786
10/10/2022,19.9551
10/7/2022,20.02
10/6/2022,20.105
10/5/2022,20.052
10/4/2022,19.958
10/3/2022,20.02
9/30/2022,20.14
9/29/2022,20.161
9/28/2022,20.116
9/27/2022,20.359
9/26/2022,20.396
9/23/2022,20.179
9/22/2022,19.931
9/21/2022,20.004
9/20/2022,19.983
9/19/2022,19.91
9/16/2022,20.03
9/15/2022,20.06
9/14/2022,19.942
9/13/2022,20.066
9/12/2022,19.821
9/9/2022,19.876
9/8/2022,19.953
9/7/2022,19.966
9/6/2022,20.118
9/5/2022,19.9842
9/2/2022,19.929
9/1/2022,20.168
8/31/2022,20.1348
8/30/2022,20.145
8/29/2022,20.004
8/26/2022,20.015
8/25/2022,19.914
8/24/2022,19.885
8/23/2022,19.971
8/22/2022,20.133
8/19/2022,20.15
8/18/2022,20.104
8/17/2022,19.97
8/16/2022,19.897
8/15/2022,19.823
8/12/2022,19.829
8/11/2022,19.928
8/10/2022,20.016
8/9/2022,20.218
8/8/2022,20.245
8/5/2022,20.413
8/4/2022,20.326
8/3/2022,20.456
8/2/2022,20.773
8/1/2022,20.369
7/29/2022,20.35
7/28/2022,20.265
7/27/2022,20.395
7/26/2022,20.444
7/25/2022,20.46
7/22/2022,20.526
7/21/2022,20.617
7/20/2022,20.532
7/19/2022,20.5164
7/18/2022,20.457
7/15/2022,20.522
7/14/2022,20.79
7/13/2022,20.721
7/12/2022,20.8482
7/11/2022,20.729
7/8/2022,20.443
7/7/2022,20.503
7/6/2022,20.6517
7/5/2022,20.5162
7/4/2022,20.26
7/1/2022,20.251
6/30/2022,20.089
6/29/2022,20.111
6/28/2022,20.122
6/27/2022,19.91
6/24/2022,19.85
6/23/2022,20.001
6/22/2022,20.0442
6/21/2022,20.115
6/20/2022,20.276
6/17/2022,20.329
6/16/2022,20.4
6/15/2022,20.245
6/14/2022,20.579
6/13/2022,20.4538
6/10/2022,19.956
6/9/2022,19.657
6/8/2022,19.56
6/7/2022,19.58
6/6/2022,19.56
6/3/2022,19.5565
6/2/2022,19.52
6/1/2022,19.684
5/31/2022,19.6525
5/30/2022,19.545
5/27/2022,19.565
5/26/2022,19.7622
5/25/2022,19.818
5/24/2022,19.831
5/23/2022,19.853
5/20/2022,19.851
5/19/2022,19.922
5/18/2022,20.029
5/17/2022,19.93
5/16/2022,20.02
5/13/2022,20.088
5/12/2022,20.2424
5/11/2022,20.305
5/10/2022,20.384
5/9/2022,20.38
5/6/2022,20.135
5/5/2022,20.222
5/4/2022,20.014
5/3/2022,20.277
5/2/2022,20.462
4/29/2022,20.411
4/28/2022,20.436
4/27/2022,20.3759
4/26/2022,20.423
4/25/2022,20.204
4/22/2022,20.218
4/21/2022,20.16
4/20/2022,19.983
4/19/2022,20.006
4/18/2022,19.815
4/15/2022,19.9405
4/14/2022,19.9629
4/13/2022,19.773
4/12/2022,19.787
4/11/2022,19.929
4/8/2022,20.02
4/7/2022,20.121
4/6/2022,20.16
4/5/2022,19.993
4/4/2022,19.788
4/1/2022,19.835
3/31/2022,19.845
3/30/2022,19.856
3/29/2022,19.964
